0,1,2
1,000010000000000000000000000000000000000,35.0
2,000010000000000000000000000000000000000,35.0
3,000010000000000000000000000000000000000,35.0
4,000010000000000000000000000000000000000,35.0
5,000010000000000000000000000000000000000,35.0
6,000010000000000000000000000000000000000,35.0
7,000010000000000000000000000000000000000,35.0
8,000010000000000000000000000000000000000,35.0
9,000010000000000000000000000000000000000,35.0
10,000010000000000000000000000000000000000,35.0
314,001000010000000000000000000000000000000,38.0
11,000010000000000000000000000000000000000,35.0
12,000010000000000000000000000000000000000,35.0
13,000010000000000000000000000000000000000,35.0
14,000010000000000000000000000000000000000,35.0
15,000010000000000000000000000000000000000,35.0
16,000010000000000000000000000000000000000,35.0
17,000010000000000000000000000000000000000,35.0
18,000001100000000000000000000000000001000,400.0
19,000001100000000000000000000000000001000,210.0
20,000001100000000000000000000000000001000,75.0
21,000001100000000000000000000000000001000,550.0
22,000001100000000000000000000000000001000,300.0
315,001000010000000000000000000000000000000,270.0
23,000001100000000000000000000000000001000,280.0
24,000001100000000000000000000000000001000,350.0
25,000001100000000000000000000000000001000,290.0
26,000001100000000000000000000000000001000,260.0
27,000001100000000000000000000000000001000,420.0
28,000001100000000000000000000000000001000,200.0
29,000001100000000000000000000000000001000,130.0
30,000001100000000000000000000000000001000,75.0
31,000001100000000000000000000000000001000,220.0
32,000001100000000000000000000000000001000,140.0
33,000001100000000000000000000000000001000,80.0
34,000001100000000000000000000000000001000,760.0
35,000001100000000000000000000000000001000,280.0
36,000001100000000000000000000000000001000,190.0
37,000001100000000000000000000000000001000,200.0
38,000001100000000000000000000000000001000,105.0
39,000001100000000000000000000000000001000,220.0
40,000001100000000000000000000000000001000,150.0
41,000001100000000000000000000000000000100,550.0
42,000001100000000000000000000000000000100,400.0
43,000001100000000000000000000000000000100,320.0
44,000001100000000000000000000000000000100,210.0
45,000001100000000000000000000000000000100,850.0
46,000001100000000000000000000000000000100,270.0
2164,001000000000000100000000000000000000000,23.0
47,000001100000000000000000000000000000100,145.0
48,000001100000000000000000000000000000100,200.0
49,000001100000000000000000000000000000100,110.0
50,000001100000000000000000000000000010000,250.0
51,000001100000000000000000000000000010000,190.0
